[151.98] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[151.98] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[151.99] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[151.99] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.00] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.00] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.00] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.01] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.01] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.02] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.03] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.04] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.05] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.06] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.07] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.08] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.08] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.09] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.10] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.11] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.12] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.13] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.13] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.14] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.15] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.15] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.16] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.17] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.17] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.18] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.19] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.20] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.21] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.21] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.22] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.23] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.24] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.24] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.25] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.26] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.27] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.27] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.28] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.29] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.29] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.30] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.31] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.31] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.32] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.32] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.33] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.34] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.34] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.35] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.36] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.37] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.38] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.38] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.39] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.40] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.41] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.42] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.43] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.43] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.44] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.45] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.45] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.46] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.47] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.47] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.48] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.49] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.50] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.50] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.51] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.52] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.53] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.53] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.54] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.55] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.56] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.57] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.58] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.58] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.59] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.60] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.61] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.62] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.62] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.63] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.63] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.64] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.64] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.65] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.66] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.67] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.68] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.68] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.69] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.71] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.72] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.72] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.73] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.74] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.74] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.75] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.76] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.76] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.77] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.77] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.78] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
[152.78] AT+CFUN?       -> AT+CFUN? | +CFUN: 1 | OK
[152.79] AT+CSQ         -> AT+CSQ | +CSQ: 23,99 | OK
[152.80] AT$QCSYSMODE?  -> AT$QCSYSMODE? | LTE | OK
[152.81] AT+CEREG?      -> AT+CEREG? | +CEREG: 0,1 | OK
